,,,,,,
ZIP Code,City,County,Type,,,
ZIP Code 84753,Modena,Iron,Standard,,,
ZIP Code 84754,Monroe,Sevier,Standard,,,
ZIP Code 84755,Mount Carmel,Kane,P.O. Box,,,
ZIP Code 84756,Newcastle,Iron,P.O. Box,,,
ZIP Code 84757,New Harmony,Washington,Standard,,,
ZIP Code 84758,Orderville,Kane,P.O. Box,,,
ZIP Code 84759,Panguitch,Garfield,Standard,,,
ZIP Code 84760,Paragonah,Iron,P.O. Box,,,
ZIP Code 84761,Parowan,Iron,P.O. Box,,,
ZIP Code 84762,Duck Creek Village,Kane,Standard,,,
ZIP Code 84763,Rockville,Washington,P.O. Box,,,
ZIP Code 84764,Bryce,Garfield,P.O. Box,,,
ZIP Code 84765,Santa Clara,Washington,Standard,,,
ZIP Code 84766,Sevier,Sevier,Standard,,,
ZIP Code 84767,Springdale,Washington,P.O. Box,,,
ZIP Code 84770,Saint George,Washington,Standard,,,
ZIP Code 84771,Saint George,Washington,P.O. Box,,,
ZIP Code 84772,Summit,Iron,P.O. Box,,,
ZIP Code 84773,Teasdale,Wayne,Standard,,,
ZIP Code 84774,Toquerville,Washington,Standard,,,
ZIP Code 84775,Torrey,Wayne,Standard,,,
ZIP Code 84776,Tropic,Garfield,P.O. Box,,,
ZIP Code 84779,Virgin,Washington,Standard,,,
ZIP Code 84780,Washington,Washington,Standard,,,
ZIP Code 84781,Pine Valley,Washington,Standard,,,
ZIP Code 84782,Veyo,Washington,Standard,,,
ZIP Code 84783,Dammeron Valley,Washington,Standard,,,
ZIP Code 84784,Hildale,Washington,P.O. Box,,,
ZIP Code 84790,Saint George,Washington,Standard,,,
ZIP Code 84791,Saint George,Washington,P.O. Box,,,
